executed_at,directory,u_max_value,u_t_at_max,u_altitude_at_max,u_min_value,u_t_at_min,u_altitude_at_min,theta_max_value,theta_t_at_max,theta_altitude_at_max,theta_min_value,theta_t_at_min,theta_altitude_at_min
2025-05-22 01:16:50,output/results_v3_gamma=2.41/Mars/20250521T235509_SuperCritical_num261_alp1-31_gamma2-41_dt0.1,51.76640348956532,14,999.66115397887,-33.83863192893697,7,465.0075443815129,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-22 04:48:25,output/results_v3_gamma=2.41/Mars/20250522T021844_SuperCritical_num261_alp3-34_gamma2-41_dt0.1,44.931308028046814,14,571.1783056384133,-37.88376974960136,6,154.43199105529715,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-22 04:49:22,output/results_v3_gamma=2.41/Mars/20250522T021834_SuperCritical_num261_alp3-34_gamma2-41_dt0.1,44.931308028046814,14,571.1783056384133,-37.88376974960136,6,154.43199105529715,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-22 11:23:35,output/results_v3_gamma=2.41/Mars/20250522T100125_Critical_num261_alp0-62_gamma2-41_dt0.1,46.58469492566222,18,1211.5050001791865,-42.70659437126797,8,1236.9657925756087,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-22 13:11:21,output/results_v3_gamma=2.41/Mars/20250522T114953_SuperCritical_num261_alp1-8_gamma2-41_dt0.1,48.23557790182325,13,843.3672549564129,-34.878791085276205,6,202.98817407376228,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-22 14:36:18,output/results_v3_gamma=2.41_theta0=230/Mars/20250522T131345_SuperCritical_num261_alp1-31_gamma2-41_dt0.1,49.67078022708898,15,1015.1228537862698,-31.10071920924216,7,472.1846613838138,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-22 17:06:55,output/results_v3_gamma=2.41_theta0=230/Mars/20250522T154359_SuperCritical_num261_alp3-34_gamma2-41_dt0.1,42.81030568550913,14,582.1969797586105,-36.00536009890733,6,157.41115844728975,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-22 19:01:00,output/results_v3_gamma=2.41_theta0=230/Mars/20250522T173806_SuperCritical_num261_alp0-72_gamma2-41_dt0.1,48.321070085527246,17,1282.0623632409126,-39.866858277060985,7,743.8644996755111,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-22 21:12:47,output/results_v3_gamma=2.41_theta0=230/Mars/20250522T195038_SuperCritical_num261_alp0-84_gamma2-41_dt0.1,47.52386901929388,16,1217.5131496510692,-33.50838818817089,6,329.088169018672,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-23 00:27:53,output/results_v3/Mars/20250522T230534_SuperCritical_num261_alp0-54_gamma4-02_dt0.1,39.28454473665877,17,1277.4586630999445,-31.90088388081828,7,727.4675865435245,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-23 03:21:48,output/results_v3/Mars/20250523T015854_SuperCritical_num261_alp0-99_gamma4-02_dt0.1,40.21668846617035,15,1007.9056504131272,-25.700183062277244,7,468.8275773440108,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-23 11:11:19,output/results_v3_gamma=2.41/Mars/20250523T095015_SuperCritical_num261_alp0-72_gamma2-41_dt0.1,50.681700854033785,17,1245.1945881259178,-39.75003714707016,7,707.710286669293,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-24 14:10:12,output/results_v3_gamma=2.41_theta0=230/Mars/20250524T124751_Critical_num261_alp0-65_gamma2-41_dt0.1,44.61916755277637,18,1210.9706443113205,-40.81796696907793,8,1236.4202067715762,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-24 15:33:18,output/results_v3_gamma=2.41_theta0=230/Mars/20250524T141105_SubCritical_num261_alp0-24_gamma2-41_dt0.1,10.750073146845493,19,855.0198394092686,-12.133276507741208,9,1454.6929564359195,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-24 18:34:36,/home/okuno/2026M_okuno/slope_wind/calculation/numerical/output/results_v3_gamma=2.41_theta0=230/Mars/20250524T141105_SubCritical_num261_alp0-24_gamma2-41_dt0.1,10.750073146845493,19,855.0198394092686,-12.133276507741208,9,1454.6929564359195,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-24 18:36:40,/home/okuno/2026M_okuno/slope_wind/calculation/numerical/output/results_v3_gamma=2.41_theta0=230/Mars/20250524T141105_SubCritical_num261_alp0-24_gamma2-41_dt0.1,10.750073146845493,19,855.0198394092686,-12.133276507741208,9,1454.6929564359195,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-24 18:38:49,/home/okuno/2026M_okuno/slope_wind/calculation/numerical/output/results_v3_gamma=2.41_theta0=230/Mars/20250524T141105_SubCritical_num261_alp0-24_gamma2-41_dt0.1,10.750073146845493,19,855.0198394092686,-12.133276507741208,9,1454.6929564359195,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-24 18:41:21,/d5/d5a/user/2026M_okuno/slope_wind/calculation/numerical/output/results_v3_gamma=2.41_theta0=230/Mars/20250524T124751_Critical_num261_alp0-65_gamma2-41_dt0.1/,44.61916755277637,18,1210.9706443113205,-40.81796696907793,8,1236.4202067715762,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-24 20:07:48,output/results_v3/Mars/20250524T184610_SuperCritical_num261_alp1-0_gamma4-02_dt0.1,40.150496079363286,15,1004.496767627434,-25.9190986980906,7,467.2419346231753,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-06-17 16:21:06,/home/okuno/2026M_okuno/slope_wind/calculation/numerical/output/results_v3/Mars/20250524T184610_SuperCritical_num261_alp1-0_gamma4-02_dt0.1,40.150496079363286,15,1004.496767627434,-25.9190986980906,7,467.2419346231753,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-06-27 20:09:48,output/results_v3_gamma=0.1/Mars/20250627T184738_SubCritical_num261_alp1-0_gamma1-00_dt0.1,48.4801360890945,19,849.7385873282842,-55.27679711336653,9,1446.9904605780705,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-06-27 22:43:16,output/results_v3_gamma=0.1/Mars/20250627T212111_SuperCritical_num261_alp3-19_gamma1-00_dt0.1,239.43365021894888,18,1216.0733121606654,-210.15476865900376,7,783.0171727254198,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-07-04 00:06:57,output/results_v4_test/Mars/20250703T224349_SubCritical_num261_alp1-0_gamma1-00_dt0.1,0.1915062038501027,19,831.2660093428867,-0.2169192592080116,9,1416.8448259826937,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-07-04 02:04:20,output/results_v4_test/Mars/20250704T004029_SubCritical_num261_alp1-0_gamma1-00_dt0.1,41.02968366415491,15,1030.9346369229406,-26.51525455842836,7,468.5980168636539,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-07-04 06:07:35,output/results_v4_test/Mars/20250704T044040_SubCritical_num261_alp1-0_gamma1-00_dt0.1,88.40007068066981,18,1253.9885846761974,-52.11049449409162,4,280.8140992146272,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-07-06 11:01:14,output/results_v4_test/Mars/20250706T093427_SubCritical_num261_alp1-0_gamma1-00_dt0.1,88.40007068066981,18,1253.9885846761974,-52.11049449409162,4,280.8140992146272,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-07-06 12:50:14,output/results_v4_test/Mars/20250706T112529_SubCritical_num261_alp1-0_gamma1-00_dt0.1,41.02968366415491,15,1030.9346369229406,-26.51525455842836,7,468.5980168636539,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-07-17 23:13:37,output/results_v4_test/Mars/20250717T214611_SubCritical_num261_alp1-0_gamma1-00_dt0.1,48.220115205646685,19,849.7385873282842,-54.68367700983784,9,1446.9904605780705,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-07-25 11:51:36,output/results_v4_test/Mars/20250725T102359_SubCritical_num261_alp1-0_gamma1-00_dt0.1,48.220115205646685,19,424.8692936641421,-54.68367700983784,9,723.4952302890351,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-08-25 10:58:30,output/results_4_comparison/Earth/20250825T093642_SuperCritical_num261_alp30_gamma3-00_dt0.1,5.431061196976019,6,27.2809576178699,-5.431061196976019,18,27.2809576178699,5.0,6,0.0,-5.0,18,0.0
2025-08-25 12:41:29,output/results_4_comparison/Earth/20250825T111903_SubCritical_num261_alp0-5_gamma1-00_dt0.1,6.258246674636221,13,330.0440014919677,-6.214683413335308,24,287.4576787188106,5.0,6,0.0,-5.0,18,0.0
2025-08-25 15:26:46,output/results_4_comparison/Earth/20250825T140447_Critical_num261_alp0-41_gamma3-00_dt0.1,6.5084675485342895,11,314.55074726648536,-6.516049306633765,23,314.55074726648536,5.0,6,0.0,-5.0,18,0.0
2025-09-05 13:48:29,output/results_0905/Mars/20250905T122553_SubCritical_num261_alp0-41_gamma1-00_dt0.1,24.922385167230964,19,474.0261392840613,-26.748065903313933,9,821.9173560661673,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-09-05 15:13:15,output/results_0905/Mars/20250905T135048_SubCritical_num261_alp0-41_gamma1-00_dt0.1,24.928573118216107,19,959.3492472148182,-26.747615622947023,9,1663.4226078877844,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-09-05 18:02:48,output/results_0905/Mars/20250905T164040_SubCritical_num261_alp0-62_gamma1-00_dt0.1,42.47200489534929,19,1110.3144885967515,-41.66627804405073,8,1337.815611784505,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-09-05 20:14:26,output/results_0905/Mars/20250905T185215_SubCritical_num261_alp0-24_gamma2-41_dt0.1,10.736886676540012,19,873.2117508860615,-12.246111205422975,9,1425.0053450800842,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-09-16 15:52:10,output/results_0916/Mars/20250916T142422_Critical_num261_alp0-65_gamma2-41_dt0.1,47.36407218790217,18,1248.8134769460491,-43.91593976435436,8,1337.7661253594104,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-09-18 00:15:58,output/results_0917/Mars/20250917T180452_Critical_num781_alp0-65_gamma2-41_dt0.1,47.379426372545495,18,1267.7348932634136,-43.92804420745972,8,1317.4969416418437,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-09-18 15:53:30,output/results_0917/Mars/20250918T093057_SuperCritical_num781_alp0-99_gamma4-02_dt0.1,41.40163936099763,15,1029.8166428134127,-26.31987750354382,7,480.26239630362073,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-09-26 02:03:03,output/results_0925/Mars/20250925T195702_SubCritical_num781_alp0-99_gamma1-00_dt0.1,47.43974414064999,19,832.2946107096049,-55.263658930759874,9,1448.780954052662,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-09-26 08:09:27,output/results_0925/Mars/20250926T021024_SubCritical_num781_alp0-24_gamma2-41_dt0.1,10.749069431651815,19,855.0198394092686,-12.2575114974699,9,1454.6929564359195,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-09-29 00:25:02,output/results_6_pi_l_plus/Mars/20250928T181011_SuperCritical_num781_alp3-5_gamma1-00_dt0.1,252.60684028598,17,1350.9426892191452,-207.0320532490356,7,801.154290991102,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-10-05 17:25:02,output/results_6_pi_l_plus/Mars/20251005T111347_Critical_num781_alp3-19_gamma1-00_dt0.1,232.1778888756268,18,1267.9876219179878,-215.572256913389,8,1317.7595905846438,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-03 14:49:30,output/results_202511_gamma_0.00402_theta0_210.0/Mars/20251103T085010_SuperCritical_num781_alp2-5_gamma4-02_dt0.1,34.90386248363678,14,579.3059585363411,-29.30915333472743,6,156.62950032209335,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
