now,num,alpha_deg,Theta,K,K_file,g,omega,theta_0,surface_temp,gamma,dt,output_path,Completed
,260,0.96,100.0,100.0,K/AllDay_3.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,1
,260,0.96,100.0,100.0,K/AllDay_100.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,
,260,0.96,100.0,100.0,K/AllDay_100.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,
,260,0.96,100.0,100.0,K/AllDay_100.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,
,260,0.96,100.0,100.0,K/AllDay_100.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,
,260,0.96,100.0,100.0,K/AllDay_100.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,1
,260,0.24,100.0,100.0,K/AllDay_100.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,
,260,0.24,100.0,100.0,K/AllDay_100.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,1
,260,0.35,100.0,100.0,K/AllDay_3.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,
,260,0.35,100.0,100.0,K/AllDay_3.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,1
,260,0.35,100.0,100.0,K/AllDay_100.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,
,260,0.35,100.0,100.0,K/AllDay_100.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,1
,260,30,100.0,100.0,K/AllDay_100.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,
,260,30,100.0,100.0,K/AllDay_100.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,1
,260,30,100.0,100.0,K/sample_triangle1.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,
,260,30,100.0,100.0,K/sample_triangle1.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,1
,260,30,100.0,100.0,K/sample_triangle2.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,
,260,30,100.0,100.0,K/sample_triangle2.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,1
,260,0.1,100.0,100.0,K/sample_triangle2.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,
,260,0.24,100.0,100.0,K/AllDay_3.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,
,260,0.24,100.0,100.0,K/AllDay_3.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/results,1
,10,0.24,100.0,,K/AllDay_3.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/test,
,10,0.24,100.0,,K/AllDay_3.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/test,
,10,0.24,100.0,,K/AllDay_3.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/test,0
